Comment,Designator,Footprint,LCSC Part #
10pF,C10,C_0402_1005Metric,C32949
1.2pF,"C14,C13",C_0402_1005Metric,C327292
100nF,"C40,C6,C42,C3,C4,C45,C9,C41",C_0402_1005Metric,C1525
1uF,"C43,C7",C_0402_1005Metric,C52923
10uF,"C44,C11,C1,C2,C5",C_0603_1608Metric,C19702
100pF,"C8,C12",C_0402_1005Metric,C1546
B5819W,D1,D_SOD-123,C8598
GREEN,D2,LED_0603_1608Metric,C72043
RED TX,D3,LED_0603_1608Metric,C2286
100R@100MHz,FB1,L_0805_2012Metric,C1015
USB-C 16P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
3nH,L1,L_0402_1005Metric,C269824
S8050,"Q1,Q2",SOT-23,C2150
100k,"R12,R11",R_0402_1005Metric,C25741
5.1k,"R2,R1",R_0402_1005Metric,C25905
1k,"R3,R13",R_0402_1005Metric,C11702
10k,"R5,R6,R40,R42,R43,R41,R4",R_0402_1005Metric,C25744
0R,R8,R_0402_1005Metric,C17168
ESP32-PICO-D4,U1,ESP32-PICO-D4,C2020
AMS1117-3.3,U2,SOT-223-3_TabPin2,C6186
CH340C,U3,SOIC-16_3.9x9.9mm_P1.27mm,C84681
RFX2401C,U4,QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm_ThermalVias,C19213
